iter	Passed	Remaining
0	155	155103
1	157	78489
2	159	53063
3	161	40243
4	164	32673
5	167	27704
6	169	24077
7	171	21311
8	174	19190
9	176	17480
10	179	16179
11	182	15034
12	184	14030
13	187	13172
14	189	12437
15	192	11848
16	195	11312
17	197	10801
18	200	10329
19	202	9903
20	204	9551
21	208	9267
22	210	8935
23	212	8646
24	214	8378
25	216	8123
26	219	7916
27	223	7762
28	225	7555
29	228	7376
30	230	7209
31	233	7053
32	236	6916
33	238	6784
34	240	6642
35	243	6513
36	245	6383
37	247	6253
38	250	6169
39	252	6058
40	254	5946
41	256	5850
42	258	5753
43	260	5659
44	262	5560
45	264	5489
46	266	5404
47	268	5315
48	269	5226
49	270	5146
50	272	5071
51	273	4994
52	275	4914
53	276	4837
54	278	4786
55	280	4729
56	282	4670
57	283	4609
58	285	4551
59	286	4489
60	287	4425
61	288	4363
62	289	4303
63	290	4247
64	291	4191
65	293	4159
66	296	4127
67	298	4088
68	299	4041
69	300	3996
70	302	3953
71	303	3912
72	304	3871
73	306	3831
74	310	3827
75	313	3808
76	314	3774
77	316	3736
78	317	3701
79	319	3670
80	320	3636
81	322	3606
82	323	3576
83	326	3559
84	328	3533
85	330	3508
86	332	3487
87	334	3463
88	335	3435
89	337	3416
90	340	3400
91	342	3383
92	345	3368
93	346	3343
94	348	3321
95	350	3304
96	353	3291
97	355	3275
98	358	3261
99	360	3244
100	361	3219
101	362	3195
102	364	3171
103	365	3151
104	369	3148
105	371	3135
106	373	3117
107	374	3096
108	376	3074
109	377	3053
110	378	3032
111	382	3032
112	384	3021
113	387	3008
114	388	2987
115	389	2966
116	390	2945
117	391	2926
118	392	2905
119	393	2886
120	395	2872
121	397	2858
122	398	2843
123	400	2827
124	401	2813
125	403	2797
126	404	2781
127	405	2763
128	406	2747
129	407	2729
130	409	2715
131	411	2703
132	412	2689
133	414	2677
134	415	2664
135	417	2651
136	418	2636
137	419	2620
138	420	2606
139	421	2590
140	422	2575
141	424	2563
142	427	2560
143	429	2550
144	430	2540
145	432	2528
146	433	2516
147	434	2503
148	435	2488
149	436	2474
150	437	2459
151	439	2450
152	441	2444
153	443	2434
154	444	2422
155	445	2409
156	446	2397
157	447	2386
158	448	2373
159	449	2361
160	450	2346
161	451	2333
162	451	2320
163	452	2308
164	454	2302
165	456	2295
166	458	2287
167	459	2276
168	460	2266
169	462	2256
170	463	2246
171	464	2235
172	465	2225
173	466	2215
174	467	2205
175	470	2201
176	472	2196
177	473	2187
178	474	2178
179	476	2169
180	477	2160
181	478	2150
182	479	2141
183	480	2131
184	481	2121
185	484	2118
186	486	2114
187	488	2107
188	489	2099
189	490	2090
190	491	2082
191	492	2073
192	493	2063
193	494	2054
194	495	2045
195	496	2035
196	497	2026
197	499	2022
198	501	2017
199	503	2013
200	505	2007
201	506	2001
202	508	1995
203	509	1988
204	510	1979
205	511	1970
206	513	1965
207	515	1962
208	517	1958
209	518	1951
210	519	1943
211	520	1935
212	521	1928
213	522	1920
214	523	1912
215	524	1904
216	525	1897
217	527	1893
218	530	1890
219	533	1892
220	535	1887
221	536	1881
222	538	1877
223	540	1870
224	541	1864
225	545	1868
226	547	1865
227	549	1859
228	550	1853
229	552	1848
230	553	1842
231	554	1836
232	557	1836
233	562	1840
234	563	1835
235	565	1831
236	566	1825
237	568	1818
238	569	1812
239	574	1818
240	576	1815
241	577	1810
242	579	1804
243	581	1800
244	582	1794
245	583	1788
246	586	1789
247	589	1788
248	591	1784
249	593	1779
250	594	1774
251	596	1769
252	597	1764
253	598	1758
